Station,Date,Discharge,Longitude,Latitude
USGS-02068500,2021-01-01,357.0,-80.3030555555556,36.515
USGS-02068500,2021-01-02,426.0,-80.3030555555556,36.515
USGS-02068500,2021-01-03,374.0,-80.3030555555556,36.515
USGS-02068500,2021-01-04,356.0,-80.3030555555556,36.515
USGS-02068500,2021-01-05,316.0,-80.3030555555556,36.515
USGS-02068500,2021-01-06,292.0,-80.3030555555556,36.515
USGS-02068500,2021-01-07,269.0,-80.3030555555556,36.515
USGS-02068500,2021-01-08,271.0,-80.3030555555556,36.515
USGS-02068500,2021-01-09,269.0,-80.3030555555556,36.515
USGS-02068500,2021-01-10,259.0,-80.3030555555556,36.515
USGS-02068500,2021-01-11,256.0,-80.3030555555556,36.515
USGS-02068500,2021-01-12,305.0,-80.3030555555556,36.515
USGS-02068500,2021-01-13,284.0,-80.3030555555556,36.515
USGS-02068500,2021-01-14,277.0,-80.3030555555556,36.515
USGS-02068500,2021-01-15,280.0,-80.3030555555556,36.515
USGS-02068500,2021-01-16,279.0,-80.3030555555556,36.515
USGS-02068500,2021-01-17,267.0,-80.3030555555556,36.515
USGS-02068500,2021-01-18,241.0,-80.3030555555556,36.515
USGS-02068500,2021-01-19,236.0,-80.3030555555556,36.515
USGS-02068500,2021-01-20,237.0,-80.3030555555556,36.515
USGS-02068500,2021-01-21,237.0,-80.3030555555556,36.515
USGS-02068500,2021-01-22,235.0,-80.3030555555556,36.515
USGS-02068500,2021-01-23,231.0,-80.3030555555556,36.515
USGS-02068500,2021-01-24,231.0,-80.3030555555556,36.515
USGS-02068500,2021-01-25,234.0,-80.3030555555556,36.515
USGS-02068500,2021-01-26,637.0,-80.3030555555556,36.515
USGS-02068500,2021-01-27,324.0,-80.3030555555556,36.515
USGS-02068500,2021-01-28,422.0,-80.3030555555556,36.515
USGS-02068500,2021-01-29,388.0,-80.3030555555556,36.515
USGS-02068500,2021-01-30,364.0,-80.3030555555556,36.515
USGS-02068500,2021-01-31,383.0,-80.3030555555556,36.515
USGS-02068500,2021-02-01,345.0,-80.3030555555556,36.515
USGS-02068500,2021-02-02,326.0,-80.3030555555556,36.515
USGS-02068500,2021-02-03,238.0,-80.3030555555556,36.515
USGS-02068500,2021-02-04,229.0,-80.3030555555556,36.515
USGS-02068500,2021-02-05,237.0,-80.3030555555556,36.515
USGS-02068500,2021-02-06,231.0,-80.3030555555556,36.515
USGS-02068500,2021-02-07,272.0,-80.3030555555556,36.515
USGS-02068500,2021-02-08,299.0,-80.3030555555556,36.515
USGS-02068500,2021-02-09,319.0,-80.3030555555556,36.515
USGS-02068500,2021-02-10,222.0,-80.3030555555556,36.515
USGS-02068500,2021-02-11,251.0,-80.3030555555556,36.515
USGS-02068500,2021-02-12,373.0,-80.3030555555556,36.515
USGS-02068500,2021-02-13,602.0,-80.3030555555556,36.515
USGS-02068500,2021-02-14,420.0,-80.3030555555556,36.515
USGS-02068500,2021-02-15,458.0,-80.3030555555556,36.515
USGS-02068500,2021-02-16,805.0,-80.3030555555556,36.515
USGS-02068500,2021-02-17,441.0,-80.3030555555556,36.515
USGS-02068500,2021-02-18,447.0,-80.3030555555556,36.515
USGS-02068500,2021-02-19,390.0,-80.3030555555556,36.515
USGS-02068500,2021-02-20,332.0,-80.3030555555556,36.515
USGS-02068500,2021-02-21,390.0,-80.3030555555556,36.515
USGS-02068500,2021-02-22,414.0,-80.3030555555556,36.515
USGS-02068500,2021-02-23,366.0,-80.3030555555556,36.515
USGS-02068500,2021-02-24,322.0,-80.3030555555556,36.515
USGS-02068500,2021-02-25,313.0,-80.3030555555556,36.515
USGS-02068500,2021-02-26,346.0,-80.3030555555556,36.515
USGS-02068500,2021-02-27,369.0,-80.3030555555556,36.515
USGS-02068500,2021-02-28,353.0,-80.3030555555556,36.515
USGS-02068500,2021-03-01,314.0,-80.3030555555556,36.515
USGS-02068500,2021-03-02,263.0,-80.3030555555556,36.515
USGS-02068500,2021-03-03,255.0,-80.3030555555556,36.515
USGS-02068500,2021-03-04,255.0,-80.3030555555556,36.515
USGS-02068500,2021-03-05,324.0,-80.3030555555556,36.515
USGS-02068500,2021-03-06,316.0,-80.3030555555556,36.515
USGS-02068500,2021-03-07,311.0,-80.3030555555556,36.515
USGS-02068500,2021-03-08,294.0,-80.3030555555556,36.515
USGS-02068500,2021-03-09,252.0,-80.3030555555556,36.515
USGS-02068500,2021-03-10,254.0,-80.3030555555556,36.515
USGS-02068500,2021-03-11,247.0,-80.3030555555556,36.515
USGS-02068500,2021-03-12,259.0,-80.3030555555556,36.515
USGS-02068500,2021-03-13,257.0,-80.3030555555556,36.515
USGS-02068500,2021-03-14,252.0,-80.3030555555556,36.515
USGS-02068500,2021-03-15,242.0,-80.3030555555556,36.515
USGS-02068500,2021-03-16,266.0,-80.3030555555556,36.515
USGS-02068500,2021-03-17,255.0,-80.3030555555556,36.515
USGS-02068500,2021-03-18,338.0,-80.3030555555556,36.515
USGS-02068500,2021-03-19,665.0,-80.3030555555556,36.515
USGS-02068500,2021-03-20,358.0,-80.3030555555556,36.515
USGS-02068500,2021-03-21,305.0,-80.3030555555556,36.515
USGS-02068500,2021-03-22,290.0,-80.3030555555556,36.515
USGS-02068500,2021-03-23,278.0,-80.3030555555556,36.515
USGS-02068500,2021-03-24,271.0,-80.3030555555556,36.515
USGS-02068500,2021-03-25,278.0,-80.3030555555556,36.515
USGS-02068500,2021-03-26,426.0,-80.3030555555556,36.515
USGS-02068500,2021-03-27,353.0,-80.3030555555556,36.515
USGS-02068500,2021-03-28,459.0,-80.3030555555556,36.515
USGS-02068500,2021-03-29,380.0,-80.3030555555556,36.515
USGS-02068500,2021-03-30,316.0,-80.3030555555556,36.515
USGS-02068500,2021-03-31,389.0,-80.3030555555556,36.515
USGS-02068500,2021-04-01,424.0,-80.3030555555556,36.515
USGS-02068500,2021-04-02,367.0,-80.3030555555556,36.515
USGS-02068500,2021-04-03,351.0,-80.3030555555556,36.515
USGS-02068500,2021-04-04,304.0,-80.3030555555556,36.515
USGS-02068500,2021-04-05,288.0,-80.3030555555556,36.515
USGS-02068500,2021-04-06,282.0,-80.3030555555556,36.515
USGS-02068500,2021-04-07,299.0,-80.3030555555556,36.515
USGS-02068500,2021-04-08,295.0,-80.3030555555556,36.515
USGS-02068500,2021-04-09,299.0,-80.3030555555556,36.515
USGS-02068500,2021-04-10,302.0,-80.3030555555556,36.515
USGS-02068500,2021-04-11,396.0,-80.3030555555556,36.515
USGS-02068500,2021-04-12,311.0,-80.3030555555556,36.515
USGS-02068500,2021-04-13,297.0,-80.3030555555556,36.515
USGS-02068500,2021-04-14,291.0,-80.3030555555556,36.515
USGS-02068500,2021-04-15,292.0,-80.3030555555556,36.515
USGS-02068500,2021-04-16,280.0,-80.3030555555556,36.515
USGS-02068500,2021-04-17,277.0,-80.3030555555556,36.515
USGS-02068500,2021-04-18,276.0,-80.3030555555556,36.515
USGS-02068500,2021-04-19,278.0,-80.3030555555556,36.515
USGS-02068500,2021-04-20,268.0,-80.3030555555556,36.515
USGS-02068500,2021-04-21,266.0,-80.3030555555556,36.515
USGS-02068500,2021-04-22,258.0,-80.3030555555556,36.515
USGS-02068500,2021-04-23,245.0,-80.3030555555556,36.515
USGS-02068500,2021-04-24,256.0,-80.3030555555556,36.515
USGS-02068500,2021-04-25,266.0,-80.3030555555556,36.515
USGS-02068500,2021-04-26,245.0,-80.3030555555556,36.515
USGS-02068500,2021-04-27,236.0,-80.3030555555556,36.515
USGS-02068500,2021-04-28,237.0,-80.3030555555556,36.515
USGS-02068500,2021-04-29,234.0,-80.3030555555556,36.515
USGS-02068500,2021-04-30,223.0,-80.3030555555556,36.515
USGS-02068500,2021-05-01,191.0,-80.3030555555556,36.515
USGS-02068500,2021-05-02,217.0,-80.3030555555556,36.515
USGS-02068500,2021-05-03,302.0,-80.3030555555556,36.515
USGS-02068500,2021-05-04,249.0,-80.3030555555556,36.515
USGS-02068500,2021-05-05,235.0,-80.3030555555556,36.515
USGS-02068500,2021-05-06,230.0,-80.3030555555556,36.515
USGS-02068500,2021-05-07,203.0,-80.3030555555556,36.515
USGS-02068500,2021-05-08,209.0,-80.3030555555556,36.515
USGS-02068500,2021-05-09,219.0,-80.3030555555556,36.515
USGS-02068500,2021-05-10,217.0,-80.3030555555556,36.515
USGS-02068500,2021-05-11,212.0,-80.3030555555556,36.515
USGS-02068500,2021-05-12,213.0,-80.3030555555556,36.515
USGS-02068500,2021-05-13,201.0,-80.3030555555556,36.515
USGS-02068500,2021-05-14,194.0,-80.3030555555556,36.515
USGS-02068500,2021-05-15,194.0,-80.3030555555556,36.515
USGS-02068500,2021-05-16,190.0,-80.3030555555556,36.515
USGS-02068500,2021-05-17,187.0,-80.3030555555556,36.515
USGS-02068500,2021-05-18,179.0,-80.3030555555556,36.515
USGS-02068500,2021-05-19,162.0,-80.3030555555556,36.515
USGS-02068500,2021-05-20,161.0,-80.3030555555556,36.515
USGS-02068500,2021-05-21,155.0,-80.3030555555556,36.515
USGS-02068500,2021-05-22,155.0,-80.3030555555556,36.515
USGS-02068500,2021-05-23,154.0,-80.3030555555556,36.515
USGS-02068500,2021-05-24,153.0,-80.3030555555556,36.515
USGS-02068500,2021-05-25,152.0,-80.3030555555556,36.515
USGS-02068500,2021-05-26,206.0,-80.3030555555556,36.515
USGS-02068500,2021-05-27,157.0,-80.3030555555556,36.515
USGS-02068500,2021-05-28,156.0,-80.3030555555556,36.515
USGS-02068500,2021-05-29,242.0,-80.3030555555556,36.515
USGS-02068500,2021-05-30,190.0,-80.3030555555556,36.515
USGS-02068500,2021-05-31,164.0,-80.3030555555556,36.515
USGS-02068500,2021-06-01,149.0,-80.3030555555556,36.515
USGS-02068500,2021-06-02,149.0,-80.3030555555556,36.515
USGS-02068500,2021-06-03,171.0,-80.3030555555556,36.515
USGS-02068500,2021-06-04,176.0,-80.3030555555556,36.515
USGS-02068500,2021-06-05,146.0,-80.3030555555556,36.515
USGS-02068500,2021-06-06,142.0,-80.3030555555556,36.515
USGS-02068500,2021-06-07,150.0,-80.3030555555556,36.515
USGS-02068500,2021-06-08,158.0,-80.3030555555556,36.515
USGS-02068500,2021-06-09,144.0,-80.3030555555556,36.515
USGS-02068500,2021-06-10,237.0,-80.3030555555556,36.515
USGS-02068500,2021-06-11,190.0,-80.3030555555556,36.515
USGS-02068500,2021-06-12,268.0,-80.3030555555556,36.515
USGS-02068500,2021-06-13,205.0,-80.3030555555556,36.515
USGS-02068500,2021-06-14,189.0,-80.3030555555556,36.515
USGS-02068500,2021-06-15,163.0,-80.3030555555556,36.515
USGS-02068500,2021-06-16,157.0,-80.3030555555556,36.515
USGS-02068500,2021-06-17,151.0,-80.3030555555556,36.515
USGS-02068500,2021-06-18,157.0,-80.3030555555556,36.515
USGS-02068500,2021-06-19,136.0,-80.3030555555556,36.515
USGS-02068500,2021-06-20,134.0,-80.3030555555556,36.515
USGS-02068500,2021-06-21,140.0,-80.3030555555556,36.515
USGS-02068500,2021-06-22,172.0,-80.3030555555556,36.515
USGS-02068500,2021-06-23,161.0,-80.3030555555556,36.515
USGS-02068500,2021-06-24,154.0,-80.3030555555556,36.515
USGS-02068500,2021-06-25,150.0,-80.3030555555556,36.515
USGS-02068500,2021-06-26,124.0,-80.3030555555556,36.515
USGS-02068500,2021-06-27,117.0,-80.3030555555556,36.515
USGS-02068500,2021-06-28,119.0,-80.3030555555556,36.515
USGS-02068500,2021-06-29,152.0,-80.3030555555556,36.515
USGS-02068500,2021-06-30,155.0,-80.3030555555556,36.515
USGS-02068500,2021-07-01,147.0,-80.3030555555556,36.515
USGS-02068500,2021-07-02,267.0,-80.3030555555556,36.515
USGS-02068500,2021-07-03,146.0,-80.3030555555556,36.515
USGS-02068500,2021-07-04,136.0,-80.3030555555556,36.515
USGS-02068500,2021-07-05,126.0,-80.3030555555556,36.515
USGS-02068500,2021-07-06,120.0,-80.3030555555556,36.515
USGS-02068500,2021-07-07,145.0,-80.3030555555556,36.515
USGS-02068500,2021-07-08,147.0,-80.3030555555556,36.515
USGS-02068500,2021-07-09,117.0,-80.3030555555556,36.515
USGS-02068500,2021-07-10,111.0,-80.3030555555556,36.515
USGS-02068500,2021-07-11,119.0,-80.3030555555556,36.515
USGS-02068500,2021-07-12,116.0,-80.3030555555556,36.515
USGS-02068500,2021-07-13,110.0,-80.3030555555556,36.515
USGS-02068500,2021-07-14,107.0,-80.3030555555556,36.515
USGS-02068500,2021-07-15,116.0,-80.3030555555556,36.515
USGS-02068500,2021-07-16,102.0,-80.3030555555556,36.515
USGS-02068500,2021-07-17,119.0,-80.3030555555556,36.515
USGS-02068500,2021-07-18,174.0,-80.3030555555556,36.515
USGS-02068500,2021-07-19,137.0,-80.3030555555556,36.515
USGS-02068500,2021-07-20,116.0,-80.3030555555556,36.515
USGS-02068500,2021-07-21,109.0,-80.3030555555556,36.515
USGS-02068500,2021-07-22,101.0,-80.3030555555556,36.515
USGS-02068500,2021-07-23,102.0,-80.3030555555556,36.515
USGS-02068500,2021-07-24,102.0,-80.3030555555556,36.515
USGS-02068500,2021-07-25,119.0,-80.3030555555556,36.515
USGS-02068500,2021-07-26,291.0,-80.3030555555556,36.515
USGS-02068500,2021-07-27,209.0,-80.3030555555556,36.515
USGS-02068500,2021-07-28,160.0,-80.3030555555556,36.515
USGS-02068500,2021-07-29,153.0,-80.3030555555556,36.515
USGS-02068500,2021-07-30,111.0,-80.3030555555556,36.515
USGS-02068500,2021-07-31,107.0,-80.3030555555556,36.515
USGS-02068500,2021-08-01,104.0,-80.3030555555556,36.515
USGS-02068500,2021-08-02,104.0,-80.3030555555556,36.515
USGS-02068500,2021-08-03,100.0,-80.3030555555556,36.515
USGS-02068500,2021-08-04,97.8,-80.3030555555556,36.515
USGS-02068500,2021-08-05,92.8,-80.3030555555556,36.515
USGS-02068500,2021-08-06,86.3,-80.3030555555556,36.515
USGS-02068500,2021-08-07,90.1,-80.3030555555556,36.515
USGS-02068500,2021-08-08,96.4,-80.3030555555556,36.515
USGS-02068500,2021-08-09,90.8,-80.3030555555556,36.515
USGS-02068500,2021-08-10,107.0,-80.3030555555556,36.515
USGS-02068500,2021-08-11,131.0,-80.3030555555556,36.515
USGS-02068500,2021-08-12,160.0,-80.3030555555556,36.515
USGS-02068500,2021-08-13,161.0,-80.3030555555556,36.515
